year,age_group,sex,unemployment_rate_percent
2006,25-29,male,6.2
2006,25-29,female,4.8
2006,30-34,male,4.3
2006,30-34,female,2.9
2007,25-29,male,6
2007,25-29,female,4.9
2007,30-34,male,4.3
2007,30-34,female,3.6
2008,25-29,male,6.6
2008,25-29,female,5.3
2008,30-34,male,3.9
2008,30-34,female,2.8
2009,25-29,male,10
2009,25-29,female,7.3
2009,30-34,male,6.1
2009,30-34,female,4.7
2010,25-29,male,8.7
2010,25-29,female,6.1
2010,30-34,male,6.9
2010,30-34,female,4.2
2011,25-29,male,7.7
2011,25-29,female,5.7
2011,30-34,male,4.8
2011,30-34,female,3.4
2012,25-29,male,7.5
2012,25-29,female,5.3
2012,30-34,male,4.6
2012,30-34,female,3.9
2013,25-29,male,7.4
2013,25-29,female,6.2
2013,30-34,male,5.1
2013,30-34,female,3.3
2014,25-29,male,8.4
2014,25-29,female,6.5
2014,30-34,male,4.4
2014,30-34,female,3.1
2015,25-29,male,6.5
2015,25-29,female,6.3
2015,30-34,male,4.1
2015,30-34,female,3.8
2016,25-29,male,7
2016,25-29,female,5.4
2016,30-34,male,4
2016,30-34,female,2.8
2017,25-29,male,7
2017,25-29,female,4.5
2017,30-34,male,3.7
2017,30-34,female,2.2
2018,25-29,male,7.4
2018,25-29,female,3.1
2018,30-34,male,3.9
2018,30-34,female,2.8
2019,25-29,male,6.5
2019,25-29,female,6
2019,30-34,male,4
2019,30-34,female,3.7
2020,25-29,male,7.1
2020,25-29,female,6.4
2020,30-34,male,4.6
2020,30-34,female,3.9
2021,25-29,male,6.6
2021,25-29,female,6.4
2021,30-34,male,4
2021,30-34,female,3.9
2022,25-29,male,5.1
2022,25-29,female,6.1
2022,30-34,male,4
2022,30-34,female,5.5
2023,25-29,male,5.4
2023,25-29,female,5.8
2023,30-34,male,4.4
2023,30-34,female,3.3
2024,25-29,male,6.3
2024,25-29,female,4.7
2024,30-34,male,3.6
2024,30-34,female,3.9
